table_name	database_field_name	field_type	rtknet_field_name	description	percent_blank
rmp_acc_chem	accchem_id	int(11)	Accident Chemical Record ID	A unique ID for each accident chemical record.	0
rmp_acc_chem	accident_id	int(11)	Accident ID	The unique ID for each accident record.	0
rmp_acc_chem	chemical_id	int(11)	Chemical ID	The identifying ID for a particular chemical released in an accident.	0
rmp_acc_chem	quantity_lbs	double	Amount Released (lbs)	The amount of the substance released in the accident, in pounds, to two significant digits.	0.38904450669157
rmp_acc_chem	percent_weight	float	Percent Weight (Within Mixture)	The percent weight of a chemical within a mixture released in an accident.	36.437908496732
rmp_acc_chem	num_acc_flam	int(11)	Number of Flammable Components	The number of listed flammable component chemicals for this chemical record.	94.57671957672
rmp_acc_chem	cas	char(9)	CAS number	The identifying CAS number for a chemical.	0
rmp_acc_chem	chemical_type	char(1)	Chemical Type	The type of chemical (T=toxic, F=flammable).	0
rmp_acc_flam	flammixchem_id	int(11)	Flammable Chemical ID	A unique ID for each flammable chemical record.	0
rmp_acc_flam	accchem_id	int(11)	Accident Chemical Record ID	A unique ID for each accident chemical record.	0
rmp_acc_flam	chemical_id	int(11)	Chemical ID	The identifying ID for a particular flammable chemical released in an accident.	0
rmp_accident	accident_id	int(11)	Accident ID	The unique ID for each RMP accident record.	0
rmp_accident	rmp_id	bigint(20)	RMP ID	The unique ID for each RMP submission.	0
rmp_accident	accident_date	varchar(25)	Accident Date	Date on which the RMP accident occured.	0
rmp_accident	accident_time	char(4)	Accident Time	Time at which the RMP accident began.	0.089774665589371
rmp_accident	naics	char(6)	NAICS of Process Involved	The NAICS industry or product type code for the process involved in the accident.	0.053864799353622
rmp_accident	release_duration	char(5)	Release Duration (HHHMM)	Approximate duration of accidental release in hours and minutes (HHHMM)	0.23341413053236
rmp_accident	re_gas	char(1)	Release Event - Gas Release	Indicates whether the accident was a gas release.	0
rmp_accident	re_spill	char(1)	Release Event - Spill	Indicates whether the accident was a liquid spill or evaporation.	0
rmp_accident	re_fire	char(1)	Release Event - Fire	Indicates whether the accident was a fire.	0
rmp_accident	re_explosion	char(1)	Release Event - Explosion	Indicates whether the accident was an explosion.	0
rmp_accident	re_reactiveincid	char(1)	Release Event - Reaction	Indicates whether the accident was an uncontrolled or runaway reaction.	0
rmp_accident	rs_storagevessel	char(1)	Release Source - Storage Vessel	Indicates that the release source in the accident was a storage vessel.	0
rmp_accident	rs_piping	char(1)	Release Source - Piping	Indicates that the release source in the accident was piping.	0
rmp_accident	rs_processvessel	char(1)	Release Source - Process Vessel	Indicates that the release source in the accident was a process vessel.	0
rmp_accident	rs_transferhose	char(1)	Release Source - Transfer Hose	Indicates that the release source in the accident was a transfer hose.	0
rmp_accident	rs_valve	char(1)	Release Source - Valve	Indicates that the release source in the accident was a valve.	0
rmp_accident	rs_pump	char(1)	Release Source - Pump	Indicates that the release source in the accident was a pump.	0
rmp_accident	rs_joint	char(1)	Release Source - Joint	Indicates that the release source in the accident was a joint.	0
rmp_accident	rs_other	varchar(200)	Release Source - Other	Description of another release source in the accident	73.848639913816
rmp_accident	wind_speed	float	Wind Speed	Wind speed at the time of the accident.	47.760122093545
rmp_accident	wind_speed_unit	char(1)	Wind Speed Units	The units in which the wind speed is expressed.	9.7495286830057
rmp_accident	wind_direction	char(3)	Wind Direction	The wind direction at the time of the accident.	46.79055570518
rmp_accident	temperature	float	Temperature	The ambient temperature at the scene of the accident, in degrees F.	44.770625729419
rmp_accident	stability_class	char(1)	Atmospheric Stability Class	The atmospheric stability class at the time of the accident.	58.964000359099
rmp_accident	precipitation_yn	char(1)	Precipitation	Indicates whether there was precipitation at the time of the accident.	0
rmp_accident	unknown_weather	char(1)	Unknown Weather	Indicates whether weather conditions at the time of the accident are unknown.	0
rmp_accident	deaths_workers	int(11)	Workers Killed	The number of on-site deaths of workers (employees and contract employees) due to the accident.	98.590537750247
rmp_accident	deaths_responders	int(11)	Responders Killed	The number of on-site deaths of responders (e.g. fire department personnel) due to the accident.	99.802495735703
rmp_accident	deaths_public	int(11)	Public Killed (on-site)	The number of on-site deaths of the general public (e.g. visitors) due to the accident.	99.91920280097
rmp_accident	injuries_workers	int(11)	Workers Injured	The number of workers (employees and contract employees) injured on-site due to the accident.	52.500224436664
rmp_accident	injuries_respond	int(11)	Responders Injured	The number of responders (e.g. fire department personnel) injured due to the accident.	99.129185743783
rmp_accident	injuries_public	int(11)	Public Injured (on-site)	The number of the general public (e.g. visitors) injured on-site due to the accident.	99.003501211958
rmp_accident	onsite_damage	bigint(20)	Property Damage (on-site)	The amount of property damage on-site, in dollars, due to the accident.	77.206212406859
rmp_accident	offsite_deaths	int(11)	Off-site Deaths	The number of people killed off-site due to the accident.	99.910225334411
rmp_accident	offsite_hosp	int(11)	Hospitalizations	The number of off-site people who needed to be hospitalized because of the accident.	97.001526169315
rmp_accident	offsite_medical	int(11)	Number Requiring Medical Treatment	The number of off-site people who required medical treatment other than hospitalization due to the accident.	93.41053954574
rmp_accident	offsite_evacuated	int(11)	Number Evacuated	The number of off-site people who needed to be evacuated due to the accident.	90.905826375797
rmp_accident	offsite_shelter	int(11)	Number Sheltered In Place	The number of off-site people who needed to shelter in place due to the accident.	93.554179010683
rmp_accident	offsite_damage	int(11)	Property damage (off-site)	The amount of property damage off-site, in dollars, due to the accident.	96.821976838136
rmp_accident	ed_kills	char(1)	Environmental Damage - Fish/Animal Kills	Indicates whether fish or animal kills occured as a result of the accident.	0
rmp_accident	ed_defoliation	char(1)	Environmental Damage - Defoliation	Indicates whether defoliation occured as a result of the accident.	0
rmp_accident	ed_watercontam	char(1)	Environmental Damage - Water Contamination	Indicates whether water contamination occured as a result of the accident.	0
rmp_accident	ed_soilcontam	char(1)	Environmental Damage - Soil Contamination	Indicates whether soil contamination occured as a result of the accident.	0
rmp_accident	ed_other	varchar(200)	Environmental Damage - Other	Describes other environmental damage that occured as a result of the accident.	92.431995690816
rmp_accident	initiating_event	char(1)	Initiating Event	The type of event that initiated the accident.	0.035909866235748
rmp_accident	cf_equipmentfail	char(1)	Contributing Factor - Equipment Failure	Indicates whether equipment failure was a contributing factor in the accident.	0
rmp_accident	cf_humanerror	char(1)	Contributing Factor - Human Error	Indicates whether human error was a contributing factor in the accident.	0
rmp_accident	cf_impprocedure	char(1)	Contributing Factor - Improper Procedure	Indicates whether improper procedure was a contributing factor in the accident.	0
rmp_accident	cf_overpressure	char(1)	Contributing Factor - Overpressurization	Indicates whether overpressurization was a contributing factor in the accident.	0
rmp_accident	cf_upsetcondition	char(1)	Contributing Factor - Upset Condition	Indicates whether an upset condition was a contributing factor in the accident.	0
rmp_accident	cf_bypasscond	char(1)	Contributing Factor - By-pass Condition	Indicates whether a by-pass condition was a contributing factor in the accident.	0
rmp_accident	cf_maintenance	char(1)	Contributing Factor - Maintenance	Indicates whether maintenance activity or inactivity was a contributing factor in the accident.	0
rmp_accident	cf_processdesign	char(1)	Contributing Factor - Process Design	Indicates whether process design was a contributing factor in the accident.	0
rmp_accident	cf_unsuitequip	char(1)	Contributing Factor - Unsuitable Equipment	Indicates whether unsuitable equipment was a contributing factor in the accident.	0
rmp_accident	cf_unusualweather	char(1)	Contributing Factor - Unusual Weather	Indicates whether unusual weather was a contributing factor in the accident.	0
rmp_accident	cf_management	char(1)	Contributing Factor - Management Error	Indicates whether management error was a contributing factor in the accident.	0
rmp_accident	cf_other	varchar(200)	Contributing Factor - Other	Describes another contributing factor in the accident.	85.465481641081
rmp_accident	offsite_notify	varchar(25)	Off-site Responders Notified	Indicates whether response agencies were notified.	0.2423915970913
rmp_accident	ci_improveequip	char(1)	Changes Introduced - Improved Equipment	Indicates whether improved or upgraded equipment changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_revisedmaint	char(1)	Changes Introduced - Revised Maintenance	Indicates whether maintenance procedure changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_revisedtrain	char(1)	Changes Introduced - Revised Training	Indicates whether revised training changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_opprocedures	char(1)	Changes Introduced - Operating Procedures	Indicates whether operating procedure changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_processcontrol	char(1)	Changes Introduced - Process Control	Indicates whether new process control changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_mitigationsys	char(1)	Changes Introduced - Mitigation Systems	Indicates whether new mitigation system changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_responseplan	char(1)	Changes Introduced - Response Plan	Indicates whether response plan changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_changedprocess	char(1)	Changes Introduced - Changed Process	Indicates whether process changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_reducedinv	char(1)	Changes Introduced - Reduced Inventory	Indicates whether inventory was reduced to prevent recurrance of the accident.	0
rmp_accident	ci_none	char(1)	Changes Introduced - None	Indicates whether no changes were introduced to prevent recurrance of the accident.	0
rmp_accident	ci_other	varchar(200)	Changes Introduced - Other	Describes another change introduced to prevent recurrance of the accident.	78.974773318969
rmp_accident	cbi_flag	char(1)	Confidential Business Information	Indicates whether this record contained Confidential Business Information (CBI) which has been erased by EPA from the public version of the data.	0
rmp_accident	num_acc_chem	int(11)	Number of Chemicals	The number of chemicals listed for this accident record.	0.080797199030434
rmp_accident	flam_tot	double	Flammable Amount Total (lbs)	The total amount of flammable chemicals listed as released in this accident.	81.856540084388
rmp_accident	toxic_tot	double	Toxic Amount Total (lbs)	The total amount of toxic chemicals listed as released in this accident.	15.997845408026
rmp_accident	quantity_tot	double	Released Amount Total (lbs)	The total amount of both toxic and flammable chemicals listed as released in this accident.	0.51171559385941
rmp_accident	num_deaths	int(11)	Number of Deaths	The total number of people killed as a result of this accident.	98.231439087889
rmp_accident	num_injuries	int(11)	Number of Injuries	The total number of people injured or hospitalized as a result of this accident.	47.831941826017
rmp_accident	num_evacuated	int(11)	Number Evacuated / Sheltered	The total number of people evacuated or sheltered in place as a result of this accident.	85.923332435587
rmp_accident	property_damage	bigint(20)	Total Property Damage	The total on-site and off-site property damage due to the accident, in dollars.	76.155848819463
rmp_accident	env_damage	char(1)	Environmental Damage	Indicates whether any one of a number of forms of environmental damage were caused by the accident.	0
rmp_alt_flam	flammable_id	int(11)	Flammable Scenario ID	A unique ID for each alternate case flammable scenario record.	0
rmp_alt_flam	procchem_id	int(11)	Process Chemical Record ID	A unique identifier for each process chemical record.	0
rmp_alt_flam	analytical_basis	varchar(255)	Model Used	The model used, or analytical basis, for the release scenario.	0
rmp_alt_flam	scenario	varchar(200)	Release Scenario	Indicates gas release or liquid spill. (data not released to public by EPA)	100
rmp_alt_flam	quantity_lbs	double	Amount Released (lbs)	The amount released in the scenario, in lbs. (data not released to public by EPA)	100
rmp_alt_flam	endpoint_used	varchar(30)	Endpoint Used	The endpoint used for vapor cloud explosions or fires. (data not released to public by EPA)	100
rmp_alt_flam	lfl_value	float	LFL Value	The lower flammability limit (LFL) value used.  (data not released to public by EPA)	100
rmp_alt_flam	endpoint_distance	float	Endpoint Distance (miles)	The furthest distance that the release would reach from the facility, in miles. (data not released to public by EPA)	100
rmp_alt_flam	population	varchar(9)	Population	The population living within the endpoint distance used as a radius. (data not released to public by EPA)	100
rmp_alt_flam	pr_schools	char(1)	Public Receptors - Schools	Indicates whether schools are present within the modelled endpoint distance radius. (data not released to public by EPA)	0
