Table,Field,ShortDesc,Description,DataType,VisibleInRanking
"tblAudit","AuditComments","Findings, Conclusions & Recommendations of the audit","Findings, Conclusions & Recommendations of the audit.","Memo",0
"tblAudit","AuditDateDate of most recent Compliance Audit","Date of most recent Compliance Audit","Date of most recent Compliance Audit.","Date/Time",0
"tblAudit","AuditID","Unique identifier for each audit","Unique identifier for each audit.","Long Integer",0
"tblAudit","AuditStatusID","Most recent status of the audit","Most recent status of the audit.","Text",0
"tblAudit","AuditTypeID","Type of audit conducted","Type of audit conducted.","Long Integer",0
"tblAudit","EPAFacilityID","Unique identifier for all RMPs submitted by a specific facility","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Text",0
"tblAuditor","AuditID","Unique identifier for each audit","Unique identifier for each audit.","Long Integer",0
"tblAuditor","AuditorID","Unique identifer for each audit","Unique identifer for each audit.","Long Integer",0
"tblAuditor","PersonID","Unique identifer of each person participating in audit","Unique identifer of each person participating in audit.","Long Integer",0
"tblExecutiveSummaries","ESSeqNum","Unique sequence number for the executive summary","Unique sequence number for the executive summary.","Long Integer",0
"tblExecutiveSummaries","FacilityID","Unique identifier for all RMPs submitted by a specific facility","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Long Integer",0
"tblExecutiveSummaries","SummaryText","Executive Summary","The Executive Summary includes a brief description of the facility's risk management program.","Memo",1
"tblFacility","CameoID","Cameo Identifier","Future Link to CAMEO","Text",0
"tblFacility","EPAFacilityID","EPA Facility Identifier","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Text",0
"tblFacility","FacilityName","Facility Name","Facility name specific to the site.","Text",0
"tblFacility","MarplotID","Marplot Identifier","Future link to Marplot","Text",0
"tblPerson","IsAuditor","Is the person an auditor?","Is the person an auditor?","Yes/No",0
"tblPerson","IsInspector","Is the person an inspector?","Is the person an inspector?","Yes/No",0
"tblPerson","PersonID","Person ID","Unique identifier for each Person.","Long Integer",0
"tblPerson","PersonName","Person Name","Name of the person or entity that owns or operates the facility.","Text",0
"tblPerson","PhoneNbr","Phone Nbr","Phone number for the Owner or Operator.","Text",0
"tblRank","AggragateScore","Aggragate Score","Total score for the Facility.","Long Integer",0
"tblRank","EPA Facility Identifier","EPA Facility Identifier","Foreign key to tblFacility.","Text",0
"tblRank","Ranking","Ranking","Facility ranking.","Long Integer",0
"tblRank","RMP Identifier","RMP Identifier","Current (latest) RMP for Facility","Long Integer",0
"tblRMPError","ErrorText","Error Text","Error message text.","Memo",0
"tblRMPError","FacilityID","Facility ID","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Long Integer",0
"tblRMPError","SequenceNumber","Sequence Number","Unique sequence number.","Long Integer",0
"tblRMPTrack","Comments","Comments","The text which contains comments about the RMP submission.","Memo",0
"tblRMPTrack","DocumentHandle","Document Handle","The code which represents the method of handling used for the RMP submission.","Text",0
"tblRMPTrack","DocumentType","Document Type","The code which represents the type of the document to which the RMP Tracking record applies.","Text",0
"tblRMPTrack","EPAFacilityID","EPA Facility ID","Unique identifier for all RMPs submitted by a specific facility (assigned by Reporting Center for first-time submission). * After this number is assigned to the first submission for a facility, subsequent submissions for the same facility must include this identifier.","Text",0
"tblRMPTrack","FacilityCity","Facility City","The name of the city in which the facility is located.","Text",0
"tblRMPTrack","FacilityName1","Facility Name 1","The first line of the facility name.","Text",0
"tblRMPTrack","FacilityName2","Facility Name 2","The second line of the facility name.","Text",0
"tblRMPTrack","FacilityState","Facility State","The two-character FIPS abbreviation for the state in which the facility is located.","Text",0
"tblRMPTrack","FacilityStreet1","Facility Street 1","The text which contains the first line of the mailing address of the facility.","Text",0
"tblRMPTrack","FacilityStreet2","Facility Street 2","The text which contains the second line of the mailing address of the facility.","Text",0
"tblRMPTrack","FacilityZip","Facility Zip","The code which represents the Zoning Improvement Plan (ZIP) zone of the facility mailing address.","Text",0
"tblRMPTrack","FacilityZip4","Facility Zip4","The code which represents the Zoning Improve Plan (ZIP) Geographic Segment of the facility mailing address.","Text",0
"tblRMPTrack","PostmarkDate","Postmark Date","The postmark date of the RMP received material.","Date/Time",0
"tblRMPTrack","ReceiptDate","Receipt Date","The date the diskettes or paper submission was received by the Records Center.","Date/Time",0
"tblRMPTrack","RejectionReason","Rejection Reason","The code which represents the reason the RMP submission could not be processed.","Text",0
"tblRMPTrack","ResolutionDate","Resolution Date","The date on which the problems which prevented the RMP from being processed were finally resolved.","Date/Time",0
"tblRMPTrack","TrackID","Track ID","Unique number used to identify each RMP Tracking record.","Long Integer",0
