table_name	field_name	var_name	field_type	field_display	var_desc	blank_pct
rmp_accident	accident_id	Accident ID	int(11)	id	The unique ID for each RMP accident record.	0
rmp_accident	rmp_id	RMP ID	bigint(20)	id	The unique ID for each RMP submission.	0
rmp_accident	accident_date	Accident Date	varchar(25)		Date on which the RMP accident occured.	0
rmp_accident	accident_time	Accident Time	char(4)		Time at which the RMP accident began.	0.089774665589371
rmp_accident	naics	NAICS of Process Involved	char(6)	code:s:long:alldb.all_naics_cd:naics:naics_tr	The NAICS industry or product type code for the process involved in the accident.	0.053864799353622
rmp_accident	release_duration	Release Duration (HHHMM)	char(5)		Approximate duration of accidental release in hours and minutes (HHHMM)	0.23341413053236
rmp_accident	re_gas	Release Event - Gas Release	char(1)	yn	Indicates whether the accident was a gas release.	0
rmp_accident	re_spill	Release Event - Spill	char(1)	yn	Indicates whether the accident was a liquid spill or evaporation.	0
rmp_accident	re_fire	Release Event - Fire	char(1)	yn	Indicates whether the accident was a fire.	0
rmp_accident	re_explosion	Release Event - Explosion	char(1)	yn	Indicates whether the accident was an explosion.	0
rmp_accident	re_reactiveincid	Release Event - Reaction	char(1)	yn	Indicates whether the accident was an uncontrolled or runaway reaction.	0
rmp_accident	rs_storagevessel	Release Source - Storage Vessel	char(1)	yn	Indicates that the release source in the accident was a storage vessel.	0
rmp_accident	rs_piping	Release Source - Piping	char(1)	yn	Indicates that the release source in the accident was piping.	0
rmp_accident	rs_processvessel	Release Source - Process Vessel	char(1)	yn	Indicates that the release source in the accident was a process vessel.	0
rmp_accident	rs_transferhose	Release Source - Transfer Hose	char(1)	yn	Indicates that the release source in the accident was a transfer hose.	0
rmp_accident	rs_valve	Release Source - Valve	char(1)	yn	Indicates that the release source in the accident was a valve.	0
rmp_accident	rs_pump	Release Source - Pump	char(1)	yn	Indicates that the release source in the accident was a pump.	0
rmp_accident	rs_joint	Release Source - Joint	char(1)	yn	Indicates that the release source in the accident was a joint.	0
rmp_accident	rs_other	Release Source - Other	varchar(200)		Description of another release source in the accident	73.848639913816
rmp_accident	wind_speed	Wind Speed	float		Wind speed at the time of the accident.	47.760122093545
rmp_accident	wind_speed_unit	Wind Speed Units	char(1)	code:n:short:rmp_wind	The units in which the wind speed is expressed.	9.7495286830057
rmp_accident	wind_direction	Wind Direction	char(3)		The wind direction at the time of the accident.	46.79055570518
rmp_accident	temperature	Temperature	float		The ambient temperature at the scene of the accident, in degrees F.	44.770625729419
rmp_accident	stability_class	Atmospheric Stability Class	char(1)		The atmospheric stability class at the time of the accident.	58.964000359099
rmp_accident	precipitation_yn	Precipitation	char(1)	yn	Indicates whether there was precipitation at the time of the accident.	0
rmp_accident	unknown_weather	Unknown Weather	char(1)	yn	Indicates whether weather conditions at the time of the accident are unknown.	0
rmp_accident	deaths_workers	Workers Killed	int(11)		The number of on-site deaths of workers (employees and contract employees) due to the accident.	98.590537750247
rmp_accident	deaths_responders	Responders Killed	int(11)		The number of on-site deaths of responders (e.g. fire department personnel) due to the accident.	99.802495735703
rmp_accident	deaths_public	Public Killed (on-site)	int(11)		The number of on-site deaths of the general public (e.g. visitors) due to the accident.	99.91920280097
